id,predicted
908,5.92536974586534
914,5.997090095104379
920,5.952248779676645
926,5.957055147506982
932,5.887938325942712
938,5.939650521183455
1837,6.021306685303144
1843,6.085813918910726
1849,5.9875849754867945
1855,6.034520735786685
1861,5.9420872387749535
1867,5.906419306902211
2766,7.276753433182415
2772,6.75847150205043
2778,7.053779547869559
2784,7.165415176205762
2790,7.213448884530914
2796,7.053788637451816
3696,10.653313857751064
3702,11.572986857696486
3708,11.033601061552323
3714,10.587088472423222
3720,10.815657759734647
3726,11.304249023473746
4625,5.900827993889778
4631,6.164961517155126
4637,6.019852069426496
4643,5.940410126578175
4649,5.889925154732729
4655,6.210829301848601
5550,3.5916935119111573
5556,3.617624477155643
5562,3.6337870915161776
5568,3.6250848569389658
5574,3.536263616768533
5580,3.56629863352432
6479,4.946836825920313
6485,4.813767562070918
6491,4.837852833145558
6497,4.790297145523042
6503,4.696940873474148
6509,4.655376293107455
7407,6.985387649987153
7413,6.79961024551912
7419,6.710081454438151
7425,6.683154267808969
7431,6.703876986266978
7437,6.6857222794564946
8337,3.5063770765455646
8343,3.5063770765455646
8349,3.2961726621324314
8355,3.2961726621324314
8361,3.2961726621324314
9259,4.0209836419841904
9265,3.9840458469819677
9271,3.9967196457545913
9277,3.9311658896749564
9283,3.950631914966429
9289,4.060639858959384
10189,4.262607136450166
10195,4.262607136450166
10201,4.083100438320076
10207,4.083100438320076
10213,4.083100438320076
11112,5.219275465123016
11118,5.432007580551328
11124,5.0079961855150925
11130,5.118796528065661
11136,5.142686439753763
11142,4.981391707231238
12039,6.569756341673307
12045,6.797384905049661
12051,6.520978498889442
12057,6.573272842757124
12063,6.545846079685996
12069,6.476222791323524
12968,5.9743349118312326
12974,5.841234474960634
12980,5.938772088204851
12986,5.856320391542663
12992,6.128157767883929
12998,5.859449342764064
13897,5.861448835114592
13903,5.87305840443454
13909,5.879164073464774
13915,5.927658060144489
13921,6.05833073397089
13927,5.892057398085481
14826,5.179383523148509
14832,5.3741566093851505
14838,5.007966339012824
14844,5.007966339012824
14850,5.221380165637229
14856,5.041920408669054
15755,7.6741205414236475
15761,7.713816679243835
15767,7.9270526361440945
15773,7.977625140950618
15779,7.863717926092439
15785,7.985911629082561
16685,6.933450374633542
16691,6.932667954069334
16697,6.832065553063468
16703,6.94552795490633
16709,7.083378866798418
16715,6.965442915948717
17615,6.920838708584255
17621,7.091987994603857
17627,7.119238247504231
17633,7.008301931337854
17639,7.04078295430123
17645,7.03899489317452
18544,5.987607129517933
18550,6.21023379264734
18556,6.132458645201775
18562,6.227257040151892
18568,6.251955539413808
18574,6.061653848018606
19473,5.196682213557733
19479,5.65498350074792
19485,5.342821486081983
19491,5.541872070279923
19497,5.544552321150287
19503,5.195552752996531
20402,7.844850665807884
20408,7.854753512805908
20414,7.877766231171565
20420,8.135024614209396
20426,7.9344409327903795
20432,7.843416773039261
21331,4.390358254934086
21337,4.390358254934086
21343,4.473759684710058
21349,4.473759684710058
